Seller Name,# Depop Followers,# Items Sold,# Reviews,Social Media Link,Depop Store Link,Store Description
@facelessboxx,2599.0,53,27,https://instagram.com/facelessboxx,https://www.depop.com/facelessboxx/,Welcome to my store 🚀 || 5⭐️ seller on my first account with 3O+ reviews (rebranded) no refunds/returns 📍 Maidenhead/Leeds
@imjustsellingx,29.0,47,4,,https://www.depop.com/imjustsellingx/,PayPal payment accepted  ✅
@quality4people0nline,5416.0,1315,706,https://www.ebay.co.uk/usr/quality4people0nline,https://www.depop.com/quality4people0nline/,✅Genuine Nike Trainers & Apparel✅🚚Fast&Free Delivery in the Uk 🚚 ⚠️No Return & no Offer ⚠️🌎World shipping🌎
@luke_beattie,208.0,44,38,,https://www.depop.com/luke_beattie/,Legit seller.  No refunds are given/all purchases are final with tracked shipping included.
@mrreef,5706.0,533,240,,https://www.depop.com/mrreef/,PP Only Via Depop / No Trades / No Swaps/ No Time Wasters / No Returns/ Purchase Via The Buy It Option / Must Be Payment Ready
@japexclothing,15300.0,1228,337,,https://www.depop.com/japexclothing/,"STAY FLY. 1ST CLASS POSTAGE.
IF ITS LISTED, ITS AVAILABLE READY TO BUY ! 
FOLLOW OR MISS OUT.
instagram.com/japexjapexjapex"
@vlonecologne,184.0,207,46,,https://www.depop.com/vlonecologne/,
@solematemcr,4385.0,933,254,https://www.instagram.com/solemate_mcr,https://www.depop.com/solematemcr/,"Trusted seller, 1000+ sales 🔥 All items 100% Legitimate and Authentic ✅ Every new drop in stock 👊 DM to enquire 📲"
@javiermk,51.0,28,24,,https://www.depop.com/javiermk/,
@allsourced,8277.0,87,37,,https://www.depop.com/allsourced/,"Allsourcedclothing.co.uk
Contact@allsourcedclothing.co.uk
For any questions: @all_sourced
No returns / no trades"
@dripsuppliers,6120.0,34,25,http://instagram.com/dripsuppliersuk,https://www.depop.com/dripsuppliers/,All Items 100% Authentic ✅ All Items Shipped Next Day Special Delivery ✅ NO REFUNDS/NO RETURNS 🚫 ALL SALES ARE FINAL 🚫
@sneakerscommerce,991.0,75,18,https://www.instagram.com/sneakerscommerce,https://www.depop.com/sneakerscommerce/,"Personal Shopper | Sneakers Sourcer⁣⁣⁣
📦 Shipping Within UK
✨ Brand New Items⁣⁣
📲 DM For Enquiries⁣⁣
❌ All Sale Are Final"
@brinkk,119.0,26,12,,https://www.depop.com/brinkk/,100% Authentic Goods 👌⚡️🔥 🤙                             NO TRADES or RETURNS  Insta: BRINKK
@leitecarol,14.0,20,1,,https://www.depop.com/leitecarol/,NO REFUNDS
@skatewaves,1184.0,731,219,,https://www.depop.com/skatewaves/,🛹SKATE WEAR🛹   👕    🏄SURF WEAR🏄 🔴MESSAGE BEFORE BUYING FOR🛑                                       🛑FOR AVAILABLE STOCK🛑
@oluwa10,299.0,157,132,https://depop.com/oluwa10,https://www.depop.com/oluwa10/,NO RETURNS / REFUNDS ❌ || 🏡📦 : Aim to ship within 3 working days. Not responsible for lost or damaged parcels.
@00billy00,88.0,40,34,,https://www.depop.com/00billy00/,"No returns, please message before buying"
@smartyy96,11.0,,2,,https://www.depop.com/smartyy96/,
@lsa_100,783.0,122,53,,https://www.depop.com/lsa_100/,"Seller On Depop
All items are  100% authentic✅️
Shipping Time: 5-15 Days
Please Be Paitent with shipping
Restock Every Month"
@suppliedbyangel,2396.0,47,16,https://www.instagram.com/suppliedbyangel/,https://www.depop.com/suppliedbyangel/,"ℹ️G: @SuppliedByAngel

📍 London Based 
👟 Sneaker and Clothing enthusiasts
📤 Providing YOU with limited, sought-after items"
@sh4h,39.0,38,32,,https://www.depop.com/sh4h/,no refunds // no returns // fast service ✅ // instant buy is on ✅ // no PayPal payments! ❌
@swanngg,77.0,77,44,,https://www.depop.com/swanngg/,
@aarennn,203.0,49,18,,https://www.depop.com/aarennn/,Apollo Resale ♠️ No Refunds ♠️ Sourcing Any Shoe
@tomusaki,185.0,47,50,,https://www.depop.com/tomusaki/,"Always Open To Offers, So Shoot Away🤙🏽                                            ~ Postage £5"
@lawrence61,10.0,18,1,,https://www.depop.com/lawrence61/,"Please be patient with orders and replies, there is currently a high demand, thank you for your patience. More coming soon!"
@lxxix,348.0,75,42,,https://www.depop.com/lxxix/,"I buy and sell nothing but authentic bits, no price is set in stone. Make me an offer...NO REFUNDS/NO RETURNS/NO TIMEWASTERS 🚫"
@trustedsolesuk,1209.0,259,124,https://www.instagram.com/trustedsolesuk,https://www.depop.com/trustedsolesuk/,"✅ 100% Authentic- 100% 5🌟reviews
🧾 Over 600 clients across platforms!
🙋‍♂️ Happy 2 help!
📥 FOR DISCOUNTED PRICES ⬇️ > 10%📥"
@nowmillennial,29700.0,1476,408,https://www.instagram.com/nowmillennial/,https://www.depop.com/nowmillennial/,"🛸 Ship internationally.
💸Tax free where possible.
😭 Not accepting offers.
🔥"
@hutherland,838.0,153,79,,https://www.depop.com/hutherland/,https://www.instagram.com/h4lsutherland/
@svmia,228.0,,12,https://instagram.com/samias.meraki,https://www.depop.com/svmia/,Mostly anime art✨✨✨
@parasko,1708.0,207,163,,https://www.depop.com/parasko/,"Trusted seller for over 7 years✅ 
Reusing old packaging🌍
Fast dispatch📦 
No returns📮
UK only🇬🇧"
@misternmiss,11400.0,2443,1577,http://www.misternmiss.com,https://www.depop.com/misternmiss/,"▫️ High fashion garments & accessories
▫️ Worldwide shipping 
▫️ @misternmisss on insta"
@kazeem,1214.0,41,21,,https://www.depop.com/kazeem/,
@attir33,45.0,25,4,,https://www.depop.com/attir33/,"INSTANT BUY, EVERYTHING IS AUTHENTIC✅          LMK IF YOU HAVE ANY QUESTIONS😁Delivery times may vary❤️❤️"
@olliew97,1670.0,136,66,,https://www.depop.com/olliew97/,Open to offers on everything. Rare finds. No refunds
@provocative801,19.0,,0,,https://www.depop.com/provocative801/,Antonia’s boutique with the latest for the ladies & setting trends for the gents. tell a friend to tell a friend happy & hopeful
@millswardrobex,596.0,83,38,,https://www.depop.com/millswardrobex/,"Luxury Streetwear 🌎 
5 Star Customer Service ⭐️
▫️Tracked & signed delivery
▫️100% Authentic 
▫️No returns/refunds
▫️Inapp only"
@kickheadquarters,798.0,11,21,https://instagram.com/kickheadquarters/,https://www.depop.com/kickheadquarters/,"The HQ of all things Shoe
100K+ instagram followers with a multitude of client references
Shipping Worldwide
Founded 2014"
@immenseorange,73.0,,1,,https://www.depop.com/immenseorange/,
@snkrhouse,57.0,19,6,,https://www.depop.com/snkrhouse/,100% Authentic!❕✅
@jbswardrobe,8821.0,2380,1122,https://instagram.com/_jbswardrobe,https://www.depop.com/jbswardrobe/,"🖤Instant buy is on
🚚2nd class shipping is £3.85
❗️No silly offers & no returns
⬇️Follow the IG for stock previews"
@dieselslave,888.0,,0,https://darinagarms.com,https://www.depop.com/dieselslave/,"Worldwide shipping, first dibs and previews on ig dieselslave ‼️⏬️⏬️ style bundles + wholesale / reviews & 300 pairs online‼️⬇️"
@bythepeace,14000.0,1451,611,https://instagram.com/bythepeace,https://www.depop.com/bythepeace/,"Shop • Archive  
•Handpicked Streetwear Curated Bythepeace‼️
•DM On Instagram To Visit The Shop In Person📲"
@monicajasmine_,386.0,119,74,https://www.instagram.com/monicajasmine_/,https://www.depop.com/monicajasmine_/,London 🇬🇧 Offers Accepted 📥 No Returns ❌                   Reused Packaging ♻️
@100sales,291.0,11,10,http://💯%Ebay.rating/gumtree&ebay/11yrs+/SalePriceFINAL,https://www.depop.com/100sales/,RARE SOLDOUT GENUINE Footwear/Clothing/Accessories Purchased myself from retailers only⛔️NO RETURNS/North Ldn📍📦 Pls Review🔌
@1jonomarlow,918.0,231,125,,https://www.depop.com/1jonomarlow/,MOVING OUT NEED EVERYTHING GONE - 100% Authenticity! ✅ ALL SALES ARE FINAL! Trusted Seller 🤝
@bensbits,38400.0,5933,2498,http://Instagram.com/bensbits_,https://www.depop.com/bensbits/,- Shop All Trainers At The Bottom Of The Page ⬇️       - Ship Mon-Wed-Friday Via Royal Mail 📦                                             ✖️No Refunds / Returns / Reserves✖️
@size9official,33200.0,13,27,https://www.instagram.com/officialsize9,https://www.depop.com/size9official/,"🔥BNIB NIKE AIR DEADSTOCK FOR SALE 🔥🔌1/90/95/97/180/BW/AIRSTAB DM BEFORE BUYING, MORE PICTURES ON INSTA 
#sizecollections 🔥🔌"
@aia1105,218.0,124,72,,https://www.depop.com/aia1105/,Instagram @aia_1105
@theclobastore,9867.0,380,204,,https://www.depop.com/theclobastore/,The Cloba Store by Fraser | Designer Clothing | all items sent next day first class | international | make a bundle deal ❤️
@firstclasskicks2,2048.0,226,113,https://instagram.com/1stclass.kicks?utm_medium=copy_link,https://www.depop.com/firstclasskicks2/,No Returns. Message before purchasing!!
@felixbaker,113.0,,9,https://instagram.com/felixjgbaker,https://www.depop.com/felixbaker/,🦅No refunds🦅
@mkmoda,5227.0,238,130,,https://www.depop.com/mkmoda/,"▪️Instant Buy  
▫️Worldwide Shipping 
▪️Payment Through Depop 
▫️DM Any Questions/Offers
▪️Same Or Next Working Day Postage"
@jbarker4,1548.0,334,400,,https://www.depop.com/jbarker4/,message before buying↪️ open to offers🤝 message for more photos📷 all pairs come without original box unless otherwise stated📦
@maxosully,458.0,114,107,,https://www.depop.com/maxosully/,
@mitch1508,511.0,59,36,,https://www.depop.com/mitch1508/,-Essex/London meets available-
@connorstewart19,104.0,30,25,https://www.musescreative.art,https://www.depop.com/connorstewart19/,Selling stuff I don’t wear anymore. Wont sell anything I wouldn’t buy myself.  No returns
@calweath,352.0,150,118,,https://www.depop.com/calweath/,Buy my shit
@sheepzboi,7167.0,116,99,,https://www.depop.com/sheepzboi/,Featured Seller Of New And Used Kicks ✅  Message before buying ✅
@jordanabai,15100.0,487,275,https://www.instagram.com/jordzbai/?hl=en,https://www.depop.com/jordanabai/,BUY MY SHIT. NO REFUNDS. TIME WASTERS ARE BLOCKED.
@s_ammh,271.0,6,17,https://instagram.com/samm.ppt,https://www.depop.com/s_ammh/,▶️ message me before buying or any questions ℹ️ no returns or refunds ℹ️ offers are accepted  ℹ️ uk only.◀️
@_ls,3.0,,0,,https://www.depop.com/_ls/,
@jek92,2225.0,165,92,,https://www.depop.com/jek92/,All items 100% genuine 🍃 Shipping available worldwide 🌍
@munem,52.0,72,27,https://instagram.com/mvnem_,https://www.depop.com/munem/,Message me before buying any items from my page  SERIOUS BUYERS‼️ no refunds/returns ‼️
@savrajanand,23.0,46,29,,https://www.depop.com/savrajanand/,"message for more pics/details
no returns
bundle offers available
MESSAGE BEFORE BUYING"
@garage_garments,1538.0,647,254,,https://www.depop.com/garage_garments/,‼️Message questions📍100% authentic🔌-dispatch within 1 to 2 days. Worldwide shipping available🌎
@hypesupplyeu,124.0,42,15,,https://www.depop.com/hypesupplyeu/,"All items are already heavily discounted from rrp, no offers. All items 100% authentic, not liable after postage. Uk only"
@laceddown,704.0,112,92,,https://www.depop.com/laceddown/,"➖ UK BASED 🇬🇧 ➖
➖ TRUSTED SELLER 💫 ➖
➖ RAPID UK SHIPPING 📦 ➖
➖ BUYING & RESTORING ⭐️ ➖
⭕️ ALL IMAGES ARE OUR OWN ⭕️"
@hcim29,6539.0,292,125,,https://www.depop.com/hcim29/,"U.K. Seller 🇬🇧🇬🇧🇬🇧🇬🇧 Women’s, men’s, children’s clothing and accessories available here! Open to bundle discounts 👍"
@olly_mul,134.0,20,41,https://olly_mul,https://www.depop.com/olly_mul/,No returns or refunds please :) UK BUYERS ONLY
@pascaleeliza,59000.0,2525,1261,https://www.pascaleeliza.com,https://www.depop.com/pascaleeliza/,"♻️Sustainably hand-picked
🌟DESIGNER & Vintage 
🪐Worldwide Shipping
📦Free UK on bundles
🌸NO RETURNS
👀@studio_pascaleeliza"
@17collective,3704.0,286,184,https://instagram.com/17.collective,https://www.depop.com/17collective/,"👕| @17.collective
📦| FREE U.K. Shipping 
🌍| International Shipping
❌| All sales are final, no returns"
@flykicksofficial,3961.0,686,266,https://instagram.com/flykicksofficial,https://www.depop.com/flykicksofficial/,"📦| UK NEXT DAY DELIVERY
🚀| INSTANT BUY IS ON☑️
💯| ALL 100% AUTHENTIC ITEMS ONLY!📈
✅| TRUSTED SELLER | NO REFUND POLICY👌"
@ttocsdepop,270.0,23,16,,https://www.depop.com/ttocsdepop/,"Message for any enquiries or offers 💬 
No returns after item has been purchased 🎯
Open to swaps 🔄"
@urbanmassif,59500.0,2515,1877,http://Instagram.com/urbanmassif,https://www.depop.com/urbanmassif/,•💡Exclusive Store💡• International Shipping🌴• Authentic📍 •📦Instant Buy Only📦•No Returns🛒          No Trades❌
@ipaytowearcorporationslogos,56.0,26,9,,https://www.depop.com/ipaytowearcorporationslogos/,"Message me, we work something out 😉"
@itsceezle,538.0,17,33,,https://www.depop.com/itsceezle/,NO SWAPS... PAYPAL ONLY
@troys_stuff123,438.0,35,24,https://instagram.com/troy_n__,https://www.depop.com/troys_stuff123/,no returns/refunds.📦Royal Mail tracked delivery📦 taking offers.   Ask before buying if outside of UK
@tbd_customs,911.0,116,118,https://instagram.com/onyx_exclusives?igshid=YmMyMTA2M2Y=,https://www.depop.com/tbd_customs/,‼️open to trades‼️ 🚨all authenticated🚨 ‼️no refunds‼️ dm us to purchase or for better price 📲 +44 7415 202211
@tobias_lynch11,1662.0,713,356,https://www.instagram.com/zestygarms,https://www.depop.com/tobias_lynch11/,"Selling Vintage & Preloved Garms♻️
Free UK Shipping & International Varies📦💨
No Returns | Refunds | Trades⚠️"
@hkgarments,3044.0,175,122,https://www.instagram.com/hk_garments/,https://www.depop.com/hkgarments/,First class shipping with every order📦 Always open to offers🤲🏽 no refunds or returns
@babayale,547.0,72,54,,https://www.depop.com/babayale/,Vinted - babayale 💕 Sizes Medium-XL & Size 9/10 .
@markallen,134.0,37,32,,https://www.depop.com/markallen/,No returns/ UK based/ message me before buying/ dm me for offers or trades 📦
@fazeaubrey,464.0,95,60,,https://www.depop.com/fazeaubrey/,N O R E F U N D S
@ukkicks2,1440.0,88,69,,https://www.depop.com/ukkicks2/,GOOD PRICES AND FAST SHIPPING ❗️❗️ CORTEIZ & TRAPSTAR GOD 🤝🏻🤝🏻 BAD PHOTOS BAD CAMERA ON MY PHONE BUT EVERYTING IS 10/10
@jacobharveyy,9487.0,319,129,,https://www.depop.com/jacobharveyy/,
@callumpang,271.0,47,41,,https://www.depop.com/callumpang/,No refunds or returns UK only
@ezekielsasleep,623.0,146,73,https://instagram.com/ezicollect,https://www.depop.com/ezekielsasleep/,"All sales final. Time wasting = block. Next working day postage by RM track 24. International buyer, fit pics and more details👇"
@10mab01,8.0,9,1,,https://www.depop.com/10mab01/,"UK selling only, no refunds after deliveries!                 Offers accepted on all items!"
@musajafar,1.0,,0,,https://www.depop.com/musajafar/,
@somethingbluemaybered,444.0,136,88,,https://www.depop.com/somethingbluemaybered/,no returns or trades!!🚫
@djjb64,86.0,48,19,,https://www.depop.com/djjb64/,
@luwilarchive,1362.0,102,48,,https://www.depop.com/luwilarchive/,Shipping worldwide within 1-3 days Dry clean upon request All items are 100% authentic Message me for further enquiries.
@loghanlee94,1488.0,194,101,,https://www.depop.com/loghanlee94/,"❗Returns/Refunds: Not accepted
❓Delivery: Royal Mail Tracked 1-3 w.days
❗Not responsible after shipping"
@ljbdesigner,60.0,33,21,,https://www.depop.com/ljbdesigner/,-SHIPPING IN 1 TO 2 DAYS                              RESELLING 1:1 and authentic Items From High End Brands
@clothingplugukk,16.0,,0,,https://www.depop.com/clothingplugukk/,
@nigoldn,90.0,14,4,,https://www.depop.com/nigoldn/,All payment methods allowed
@ybnalex747,263.0,35,16,,https://www.depop.com/ybnalex747/,"🚨🚨🚨 CLEARING ITEMS, NEED ALL GONE🚨🚨🚨
- Message before buying IG: _alexdeoliveira_ depop payment through paypal"
@archiespencer6,6.0,,1,,https://www.depop.com/archiespencer6/,
@stay_in_stock,69.0,11,1,https://www.instagram.com/stay_in_stock/,https://www.depop.com/stay_in_stock/,"➖Luxury personal shopping 
➖All items are 100% authentic 
➖Message us before purchasing🙏

No refunds/exchanges are accepted❗️"
@geo929,54.0,20,13,,https://www.depop.com/geo929/,
@shoedeli,16000.0,311,346,https://linktr.ee/ShoeDeli,https://www.depop.com/shoedeli/,"⚡️YES RESPONSIBLE AFTER POSTAGE
⚡️YES REFUNDS -pls ask
⚡️AUTHENTIC, ALWAYS

Please use the filter to see what’s in your size 🛍️"
@lewismith,164.0,24,16,https://www.instagram.com/_lewismith/,https://www.depop.com/lewismith/,Newcastle meets                                                                   No refunds or exchanges (prices are firm)
@bootroomxi,2458.0,75,46,https://www.instagram.com/bootroomxi/,https://www.depop.com/bootroomxi/,No refunds on £1 purchases
@kier_oregan,303.0,15,15,,https://www.depop.com/kier_oregan/,"Supreme - Sizes L/XL, Palace - Size XL, Nike - Sizes 10.5/11, All sales final, can provide proof of authenticity for all items."
@lucyroberrts,1144.0,55,47,,https://www.depop.com/lucyroberrts/,Unable to ship til September
@manueljunior,4.0,,18,,https://www.depop.com/manueljunior/,MESSAGE ME BEFORE BUYING.                           //Uk shipping only//
@qualitsneaker,5611.0,124,75,https://www.instagram.com/qualitsneakers/,https://www.depop.com/qualitsneaker/,"👟 Exclusive Sneakers 
✅ 100% Authentic & Reliable ⁣
🚛 Fast Shipping ⁣
🇬🇧 UK Based 
✖️ No Refunds, Exchanges or Returns"
@janeylayd,898.0,96,49,,https://www.depop.com/janeylayd/,"vintage, y2k, 90s, unique finds! 🥀   SALE ACTIVE  🥀       help me fund a ko4  👁💋👁"
@imasher,5678.0,2745,1291,,https://www.depop.com/imasher/,All items are available to buy
@karloskargo,3020.0,326,204,https://www.instagram.com/karlos.kargo/,https://www.depop.com/karloskargo/,🏔🌋⛰
@tdnarbmer,14.0,10,15,,https://www.depop.com/tdnarbmer/,
@anthonyylee,994.0,308,154,,https://www.depop.com/anthonyylee/,Aim to post within 3 working days 📦 Open to reasonable offers and happy to answer any Q’s ✌🏼 All sales are final
@lukecrumpet,1050.0,51,26,https://www.lukecrump.com,https://www.depop.com/lukecrumpet/,UK based Artist ✏️ 👀 DM before ordering! Hit me up for custom work / questions✌️ 🌍 SHIPPING WORLDWIDE 🌍 insta - luke.crump
@oldskool_gear,10200.0,543,378,https://instagram.com/oldskool_gear?utm_medium=copy_link,https://www.depop.com/oldskool_gear/,"😎Treat yourself, avv a scroll😎     
🌎Fast, worldwide shipping🌍             ♻️Keep buying second-hand♻️"
@solesentry,1249.0,191,136,https://www.instagram.com/SoleSentry/,https://www.depop.com/solesentry/,
@freezysarchive,3803.0,1929,1340,,https://www.depop.com/freezysarchive/,"UK based 🇬🇧 
Ship worldwide 🌎 
In App payments only 💰 
No refunds/exchanges ❌
Message me any questions!📩"
@jaime_pt,102.0,8,12,,https://www.depop.com/jaime_pt/,London | Open to offers but message first before buying ✌️
@julienkirk,1739.0,264,279,https://www.instagram.com/julien_kirk/,https://www.depop.com/julienkirk/,"Wys                                                                                        No Refunds, No Returns"
@leonard23,52.0,32,23,,https://www.depop.com/leonard23/,
@dianaperova,687.0,79,34,https://www.instagram.com/diane.perova/,https://www.depop.com/dianaperova/,🧚🏻everything been picked with love / no returns / make offers / free UK shipping / INSTANT BUY IS ON🧚🏻
@sachagalst,806.0,48,13,,https://www.depop.com/sachagalst/,UK 🇬🇧 streetwear/fashion for great prices. DM @s.galstaun on IG for proof of authenticity
@helveticanew,386.0,55,38,,https://www.depop.com/helveticanew/,New and used.
@secondarysystems,1114.0,940,360,https://instagram.com/wh1teacre,https://www.depop.com/secondarysystems/,(Worldwide shipping)
@ddg19,48.0,,4,,https://www.depop.com/ddg19/,Glasgow // no swaps or returns. Selling some clothes I no longer wear
@clint_122,76.0,20,11,https://instagram.com/,https://www.depop.com/clint_122/,Just selling stuff I don’t wear 🤝 come and find yourself a bargain ✅  ig: jbelnavis.10
@archiesrchive,2532.0,673,309,https://www.instagram.com/archiesrchive,https://www.depop.com/archiesrchive/,1000+ sales | 5* reviews💧like items if interested👍🏻not responsible after postage🧢
@hhikes,2436.0,250,206,,https://www.depop.com/hhikes/,Trainers UK 5-11. Garms M & F. POP me a msg for more details // can do bundles 🎉 No refunds - All sent with tracked shipping 🌎
@tcacreative,2485.0,376,250,https://www.tcacreative.co.uk/shop,https://www.depop.com/tcacreative/,All Items Brand New - 100% Authenticity Guaranteed - Klarna Pay In 3 Available ✅
@chris_s_ramos,128.0,120,94,https://www.instagram.com/chris_s_ramos,https://www.depop.com/chris_s_ramos/,"UK Postage Only
All items sent via Royal Mail with tracking number
High value items will not be sold to accounts with no reviews"
@tellecity,125.0,68,25,https://instagram.com/martellemclemore,https://www.depop.com/tellecity/,Selling/Buying clothes and sneakers 👕👖🥾👟  Open to offers 🤝 Message for enquiries👏🏿
@2ndchancecollective,4542.0,1297,651,https://instagram.com/2ndchancecollective,https://www.depop.com/2ndchancecollective/,"- Everything posted 48hour Tracked RM - Recyclable Packaging ♻️ - No Refunds, unless I am at fault. IG link in bio🤝"
@jawsell,160.0,238,185,https://instagram.com/jawselling,https://www.depop.com/jawsell/,
@drip4less__,27.0,20,10,,https://www.depop.com/drip4less__/,"Trusted seller, quick response and most importantly fast delivery!"
@elianne13,146.0,29,23,,https://www.depop.com/elianne13/,
@elkach,3.0,7,0,,https://www.depop.com/elkach/,
@samsstreetwear1,156.0,89,32,,https://www.depop.com/samsstreetwear1/,Your Source for Authentic Streetwear | Receipts for ALL listings | 80+ Sales & 30+ 5⭐️ Reviews |
